latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.752193,-122.436554,23.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2011-01-22,6.7,13.9,169
2011-01-23,4.7,6.5,142
2011-01-24,5.0,11.2,54
2011-01-25,3.6,6.7,81
2011-01-26,4.5,8.3,47
2011-01-27,3.7,6.9,52
2011-01-28,5.8,11.9,77
2011-01-29,8.1,16.8,60
2011-01-30,10.9,27.5,44
2011-01-31,8.2,17.2,43
2011-02-01,5.2,10.3,31
2011-02-02,3.5,6.7,34
2011-02-03,4.1,9.6,54
2011-02-04,11.1,26.8,185
2011-02-05,5.8,14.1,182
2011-02-06,17.3,35.3,129
2011-02-07,12.7,36.0,217
2011-02-08,8.5,22.1,37
2011-02-09,3.5,8.9,16
2011-02-10,3.5,7.8,359
2011-02-11,5.8,11.9,55
2011-02-12,17.5,43.0,175
2011-02-13,9.5,24.2,156
2011-02-14,13.7,36.2,115
2011-02-15,11.9,28.0,127
2011-02-16,9.8,21.5,158
2011-02-17,7.5,16.8,137
2011-02-18,10.9,21.0,49
2011-02-19,10.9,26.6,34
2011-02-20,5.8,12.3,37
2011-02-21,6.7,11.9,163
2011-02-22,6.3,16.6,197
2011-02-23,12.1,31.8,48
2011-02-24,14.4,36.0,45
2011-02-25,11.9,28.2,41
2011-02-26,4.5,12.3,127
2011-02-27,11.9,29.5,162
2011-02-28,9.8,23.7,181
2011-03-01,8.2,17.9,62
2011-03-02,14.3,36.0,124
2011-03-03,8.5,19.0,168
2011-03-04,9.6,33.3,61
2011-03-05,5.2,15.0,146
2011-03-06,2.9,9.4,21
2011-03-07,4.7,11.9,72
2011-03-08,6.5,21.3,81
2011-03-09,12.0,33.3,115
2011-03-10,12.8,34.0,165
2011-03-11,11.0,26.8,116
2011-03-12,10.0,28.6,127
2011-03-13,12.8,37.8,80
2011-03-14,13.8,34.2,162
2011-03-15,10.1,25.9,131
2011-03-16,10.7,22.4,180
2011-03-17,6.2,19.9,103
