latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.627415,-122.32291,59.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2011-04-07,7.6,20.8,10
2011-04-08,5.1,13.2,19
2011-04-09,9.0,20.8,203
2011-04-10,14.2,29.8,182
2011-04-11,14.0,30.4,213
2011-04-12,6.0,16.6,174
2011-04-13,12.0,28.2,197
2011-04-14,13.0,38.9,189
2011-04-15,8.5,18.8,62
2011-04-16,8.1,22.1,236
2011-04-17,4.8,14.3,276
2011-04-18,4.3,15.7,242
2011-04-19,5.9,17.0,197
2011-04-20,7.0,17.2,0
2011-04-21,6.9,17.2,223
2011-04-22,9.6,24.8,8
2011-04-23,5.5,13.2,23
2011-04-24,9.0,21.0,190
2011-04-25,13.4,29.5,197
2011-04-26,9.7,21.7,197
2011-04-27,12.7,30.2,196
2011-04-28,12.1,26.6,202
2011-04-29,4.4,16.8,206
2011-04-30,5.2,13.2,249
2011-05-01,4.3,11.9,15
2011-05-02,10.8,24.2,193
2011-05-03,9.7,21.5,207
2011-05-04,5.1,13.6,9
2011-05-05,10.6,21.9,205
2011-05-06,9.2,18.8,198
2011-05-07,11.3,25.1,189
2011-05-08,6.3,14.5,319
2011-05-09,4.0,9.6,214
2011-05-10,5.2,12.8,207
2011-05-11,10.4,25.3,196
2011-05-12,8.3,21.3,188
2011-05-13,11.1,25.5,8
2011-05-14,8.6,22.6,16
2011-05-15,10.9,25.1,183
2011-05-16,12.5,29.5,210
2011-05-17,9.4,21.9,4
2011-05-18,7.7,18.1,8
2011-05-19,6.0,14.3,8
2011-05-20,4.9,11.2,251
2011-05-21,5.6,11.9,185
2011-05-22,6.7,17.4,216
2011-05-23,3.0,11.0,233
2011-05-24,7.1,17.4,189
2011-05-25,11.3,24.4,194
2011-05-26,11.5,27.5,198
2011-05-27,12.2,25.9,192
2011-05-28,8.2,17.9,308
2011-05-29,8.5,18.6,200
2011-05-30,8.0,17.9,197
2011-05-31,4.7,15.2,272
2011-06-01,7.6,14.3,189
2011-06-02,10.3,24.4,204
2011-06-03,10.5,26.2,15
2011-06-04,9.1,21.5,10
2011-06-05,4.7,13.4,7
2011-06-06,11.2,22.1,210
2011-06-07,14.7,34.4,209
2011-06-08,8.5,17.7,195
